wp_user_id,level,field,average_score
348,N2,•¶–@,90
348,N3,Œêœb,100
348,N5,Œêœb,100
348,N5,•¶–@,100
356,N2,Œêœb,70
356,N2,•¶–@,50
356,N3,Œêœb,100
356,N3,•¶–@,100
356,N4,Œêœb,100
356,N4,•¶–@,100
356,N5,Œêœb,80.6
356,N5,•¶–@,90
362,N2,Œêœb,90
362,N2,•¶–@,80
362,N3,Š¿Žš,90
362,N3,•¶–@,80
363,N2,Š¿Žš,100
363,N3,Š¿Žš,95
363,N3,Œêœb,80
363,N3,•¶–@,75
363,N5,Œêœb,80
363,N5,•¶–@,90
367,N5,Œêœb,70
367,N5,•¶–@,30
375,N5,•¶–@,66.66666667
376,N5,Œêœb,60
377,N5,Œêœb,30
378,N2,•¶–@,90
380,N2,•¶–@,70
382,N5,Œêœb,100
382,N5,•¶–@,90
384,N2,Œêœb,100
385,N5,Œêœb,90
386,N5,Œêœb,100
